dataset,noise_rate,method,seeds,accuracy_mean,accuracy_std,selected_noise_mean,selected_noise_std,reuse_status,note,source_report
cifar10,0.0,rho_batch_matched,3,0.8659666666666667,0.0029838453936712464,0.0,0.0,rerun_required,Historical RHO reference only; selection_batch_stats=false was not faithful to paper BN protocol.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.0,uniform_batch,3,0.8467333333333333,0.0012503332889007264,0.0,0.0,sanity_only,Valid historical batch baseline; rerun for shared-S0 paired tests.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.0,uniform_epoch,3,0.8499333333333334,0.008334466589610443,0.0,0.0,sanity_only,Valid historical budget baseline; rerun for shared-S0 paired tests.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.1,rho_batch_matched,3,0.8429666666666665,0.0062139627721232325,0.13529166666666667,0.0010303515657086836,rerun_required,Historical RHO reference only; selection_batch_stats=false was not faithful to paper BN protocol.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.1,uniform_batch,3,0.8301333333333334,0.0068339837088870654,0.10014687500000001,0.00024453000199361845,sanity_only,Valid historical batch baseline; rerun for shared-S0 paired tests.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.1,uniform_epoch,3,0.8262666666666666,0.0033080709383768183,0.10004166666666665,0.0006160161616859873,sanity_only,Valid historical budget baseline; rerun for shared-S0 paired tests.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.2,rho_batch_matched,3,0.8316333333333334,0.0016165807537309664,0.18722604166666668,0.004622510239194542,rerun_required,Historical RHO reference only; selection_batch_stats=false was not faithful to paper BN protocol.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.2,uniform_batch,3,0.8029000000000001,0.004629254799641072,0.1997322916666667,0.0005096944294950958,sanity_only,Valid historical batch baseline; rerun for shared-S0 paired tests.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.2,uniform_epoch,3,0.8026333333333332,0.007000238091189001,0.20011875,0.00044115659422136905,sanity_only,Valid historical budget baseline; rerun for shared-S0 paired tests.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.3,rho_batch_matched,3,0.8222666666666667,0.003365016097039246,0.224434375,0.014061007212434135,rerun_required,Historical RHO reference only; selection_batch_stats=false was not faithful to paper BN protocol.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.3,uniform_batch,3,0.7756,0.0037469987990390884,0.29982395833333336,0.0006602580974197527,sanity_only,Valid historical batch baseline; rerun for shared-S0 paired tests.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.3,uniform_epoch,3,0.7773,0.002364318083507411,0.29968229166666666,0.00013496720280620355,sanity_only,Valid historical budget baseline; rerun for shared-S0 paired tests.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.0,rho_batch_matched,3,0.5720333333333333,0.00584494083232099,0.0,0.0,rerun_required,Historical RHO reference only; selection_batch_stats=false was not faithful to paper BN protocol.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.0,uniform_batch,3,0.5392333333333333,0.004860384072615406,0.0,0.0,sanity_only,Valid historical batch baseline; rerun for shared-S0 paired tests.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.0,uniform_epoch,3,0.5393,0.0031048349392519955,0.0,0.0,sanity_only,Valid historical budget baseline; rerun for shared-S0 paired tests.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.1,rho_batch_matched,3,0.5559666666666666,0.007508217720160601,0.006495111111111111,0.00044369625913497475,rerun_required,Historical RHO reference only; selection_batch_stats=false was not faithful to paper BN protocol.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.1,uniform_batch,3,0.4897,0.01854534982145118,0.09984444444444444,0.0004603174428024087,sanity_only,Valid historical batch baseline; rerun for shared-S0 paired tests.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.1,uniform_epoch,3,0.5011333333333333,0.00789261257970598,0.0997608888888889,3.158996558918634e-05,sanity_only,Valid historical budget baseline; rerun for shared-S0 paired tests.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.2,rho_batch_matched,3,0.5499,0.0027055498516937175,0.012367999999999999,0.00043554104284211837,rerun_required,Historical RHO reference only; selection_batch_stats=false was not faithful to paper BN protocol.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.2,uniform_batch,3,0.4424333333333333,0.016861296905437993,0.19989511111111113,0.00019668964084266097,sanity_only,Valid historical batch baseline; rerun for shared-S0 paired tests.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.2,uniform_epoch,3,0.44836666666666664,0.011734706359058713,0.19964,0.000476192304758391,sanity_only,Valid historical budget baseline; rerun for shared-S0 paired tests.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.3,rho_batch_matched,3,0.5311333333333333,0.01303124450439534,0.017592,0.00021306649979134046,rerun_required,Historical RHO reference only; selection_batch_stats=false was not faithful to paper BN protocol.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.3,uniform_batch,3,0.3847666666666667,0.032839660980791684,0.3001448888888889,0.0005828502126364721,sanity_only,Valid historical batch baseline; rerun for shared-S0 paired tests.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.3,uniform_epoch,3,0.3964666666666667,0.012134386401187882,0.2997911111111111,0.000617506575163672,sanity_only,Valid historical budget baseline; rerun for shared-S0 paired tests.,data_attribution_main/artifacts/results_strict_v4
mnist,0.0,rho_batch_matched,3,0.9741333333333334,0.002362907813126275,0.0,0.0,rerun_required,Historical RHO reference only; selection_batch_stats=false was not faithful to paper BN protocol.,data_attribution_main/artifacts/results_strict_v4
mnist,0.0,uniform_batch,3,0.9740666666666667,0.0012342339054382282,0.0,0.0,sanity_only,Valid historical batch baseline; rerun for shared-S0 paired tests.,data_attribution_main/artifacts/results_strict_v4
mnist,0.0,uniform_epoch,3,0.9742333333333333,0.0004509249752822972,0.0,0.0,sanity_only,Valid historical budget baseline; rerun for shared-S0 paired tests.,data_attribution_main/artifacts/results_strict_v4
mnist,0.1,rho_batch_matched,3,0.9695333333333332,0.0010214368964029852,0.029875555555555555,0.0005229970611063942,rerun_required,Historical RHO reference only; selection_batch_stats=false was not faithful to paper BN protocol.,data_attribution_main/artifacts/results_strict_v4
mnist,0.1,uniform_batch,3,0.9664999999999999,0.002179449471770326,0.09992666666666666,0.0007534218237112861,sanity_only,Valid historical batch baseline; rerun for shared-S0 paired tests.,data_attribution_main/artifacts/results_strict_v4
mnist,0.1,uniform_epoch,3,0.9683666666666667,0.0016072751268321492,0.09977555555555556,0.0013268062461470457,sanity_only,Valid historical budget baseline; rerun for shared-S0 paired tests.,data_attribution_main/artifacts/results_strict_v4
mnist,0.2,rho_batch_matched,3,0.9671666666666666,0.000611010092660772,0.04385111111111112,0.0014960441665098489,rerun_required,Historical RHO reference only; selection_batch_stats=false was not faithful to paper BN protocol.,data_attribution_main/artifacts/results_strict_v4
