dataset,noise_rate,method,seeds,accuracy_mean,accuracy_std,selected_noise_mean,selected_noise_std,reuse_status,note,source_report
cifar10,0.0,rho_epoch_persistent_u1,3,0.8422666666666667,0.006035174672976172,0.0,0.0,diagnostic_only,Motivates update-interval study; not a V2 conclusion.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.0,rho_epoch_persistent_ub,3,0.8461666666666666,0.0015044378795195656,0.0,0.0,diagnostic_only,Old high-frequency update diagnostic; retired protocol.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.0,vf_epoch_persistent_u1,3,0.727,0.009440868604106317,0.0,0.0,diagnostic_only,Motivates VF correctness gate; old fixed-alpha/one-pass protocol retired.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.0,vf_epoch_persistent_ub,3,0.7171333333333334,0.023632463547699236,0.0,0.0,diagnostic_only,Old high-frequency VF diagnostic; retired protocol.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.1,rho_epoch_persistent_u1,3,0.7995000000000001,0.006091797764207218,0.12598958333333332,0.006012334597950138,diagnostic_only,Motivates update-interval study; not a V2 conclusion.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.1,rho_epoch_persistent_ub,3,0.8068,0.001252996408614197,0.127946875,0.00412016880911754,diagnostic_only,Old high-frequency update diagnostic; retired protocol.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.1,vf_epoch_persistent_u1,3,0.6562666666666668,0.03337878567793223,0.07783958333333334,0.015290129492448172,diagnostic_only,Motivates VF correctness gate; old fixed-alpha/one-pass protocol retired.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.1,vf_epoch_persistent_ub,3,0.6403333333333334,0.020730975214237588,0.075675,0.0059406989737635215,diagnostic_only,Old high-frequency VF diagnostic; retired protocol.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.2,rho_epoch_persistent_u1,3,0.7968000000000001,0.006548282217497978,0.17135729166666666,0.0060771684123001185,diagnostic_only,Motivates update-interval study; not a V2 conclusion.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.2,rho_epoch_persistent_ub,3,0.7846000000000001,0.0069763887506359736,0.17391770833333334,0.005152044054810506,diagnostic_only,Old high-frequency update diagnostic; retired protocol.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.2,vf_epoch_persistent_u1,3,0.6280333333333333,0.013931738345710256,0.13133229166666668,0.02060165163597832,diagnostic_only,Motivates VF correctness gate; old fixed-alpha/one-pass protocol retired.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.2,vf_epoch_persistent_ub,3,0.6253666666666667,0.025762246278873538,0.14739270833333334,0.011583640442946174,diagnostic_only,Old high-frequency VF diagnostic; retired protocol.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.3,rho_epoch_persistent_u1,3,0.7709000000000001,0.010942120452636222,0.21100104166666667,0.007156068729509124,diagnostic_only,Motivates update-interval study; not a V2 conclusion.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.3,rho_epoch_persistent_ub,3,0.7782666666666667,0.006709942871093106,0.21084583333333332,0.008127817620421437,diagnostic_only,Old high-frequency update diagnostic; retired protocol.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.3,vf_epoch_persistent_u1,3,0.6037333333333333,0.009336130533220525,0.1813125,0.023588304835235614,diagnostic_only,Motivates VF correctness gate; old fixed-alpha/one-pass protocol retired.,data_attribution_main/artifacts/results_strict_v4
cifar10,0.3,vf_epoch_persistent_ub,3,0.6021333333333333,0.0196520567201841,0.173975,0.02195460092903365,diagnostic_only,Old high-frequency VF diagnostic; retired protocol.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.0,rho_epoch_persistent_u1,3,0.4943,0.005325410782277737,0.0,0.0,diagnostic_only,Motivates update-interval study; not a V2 conclusion.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.0,rho_epoch_persistent_ub,3,0.49960000000000004,0.006872408602520631,0.0,0.0,diagnostic_only,Old high-frequency update diagnostic; retired protocol.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.0,vf_epoch_persistent_u1,3,0.33453333333333335,0.022720988828247204,0.0,0.0,diagnostic_only,Motivates VF correctness gate; old fixed-alpha/one-pass protocol retired.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.0,vf_epoch_persistent_ub,3,0.3293333333333333,0.008979049689879968,0.0,0.0,diagnostic_only,Old high-frequency VF diagnostic; retired protocol.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.1,rho_epoch_persistent_u1,3,0.4756,0.004003748243833532,0.004032,0.0005357876859768658,diagnostic_only,Motivates update-interval study; not a V2 conclusion.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.1,rho_epoch_persistent_ub,3,0.49146666666666666,0.010807559083036872,0.004272888888888889,0.0005374000510000112,diagnostic_only,Old high-frequency update diagnostic; retired protocol.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.1,vf_epoch_persistent_u1,3,0.31343333333333334,0.005389186704256357,0.05526222222222222,0.002695215623889719,diagnostic_only,Motivates VF correctness gate; old fixed-alpha/one-pass protocol retired.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.1,vf_epoch_persistent_ub,3,0.31,0.01660090358986522,0.06023555555555555,0.009644820310136151,diagnostic_only,Old high-frequency VF diagnostic; retired protocol.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.2,rho_epoch_persistent_u1,3,0.46236666666666665,0.010854645702800859,0.007497777777777778,0.0006920620824217478,diagnostic_only,Motivates update-interval study; not a V2 conclusion.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.2,rho_epoch_persistent_ub,3,0.47703333333333336,0.011271350111381221,0.008436444444444444,0.0007419294166288722,diagnostic_only,Old high-frequency update diagnostic; retired protocol.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.2,vf_epoch_persistent_u1,3,0.30469999999999997,0.009623408959407252,0.07804444444444446,0.009599331952064477,diagnostic_only,Motivates VF correctness gate; old fixed-alpha/one-pass protocol retired.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.2,vf_epoch_persistent_ub,3,0.31679999999999997,0.012144546101028227,0.07955111111111111,0.005374944561298937,diagnostic_only,Old high-frequency VF diagnostic; retired protocol.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.3,rho_epoch_persistent_u1,3,0.4522333333333333,0.013267001670812172,0.011097777777777778,0.000472002510978883,diagnostic_only,Motivates update-interval study; not a V2 conclusion.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.3,rho_epoch_persistent_ub,3,0.4505666666666667,0.01236176902119326,0.01181511111111111,0.00030705289687850466,diagnostic_only,Old high-frequency update diagnostic; retired protocol.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.3,vf_epoch_persistent_u1,3,0.308,0.009559811713627003,0.10374311111111112,0.010263817555608382,diagnostic_only,Motivates VF correctness gate; old fixed-alpha/one-pass protocol retired.,data_attribution_main/artifacts/results_strict_v4
cifar100,0.3,vf_epoch_persistent_ub,3,0.32239999999999996,0.0006082762530298188,0.09628888888888888,0.003130174104730591,diagnostic_only,Old high-frequency VF diagnostic; retired protocol.,data_attribution_main/artifacts/results_strict_v4
mnist,0.0,rho_epoch_persistent_u1,3,0.9696000000000001,0.0024020824298928915,0.0,0.0,diagnostic_only,Motivates update-interval study; not a V2 conclusion.,data_attribution_main/artifacts/results_strict_v4
mnist,0.0,rho_epoch_persistent_ub,3,0.9653,0.0009539392014168988,0.0,0.0,diagnostic_only,Old high-frequency update diagnostic; retired protocol.,data_attribution_main/artifacts/results_strict_v4
mnist,0.0,vf_epoch_persistent_u1,3,0.9578000000000001,0.002193171219946168,0.0,0.0,diagnostic_only,Motivates VF correctness gate; old fixed-alpha/one-pass protocol retired.,data_attribution_main/artifacts/results_strict_v4
mnist,0.0,vf_epoch_persistent_ub,3,0.8731,0.029066647553510537,0.0,0.0,diagnostic_only,Old high-frequency VF diagnostic; retired protocol.,data_attribution_main/artifacts/results_strict_v4
mnist,0.1,rho_epoch_persistent_u1,3,0.9615,0.0008185352771872633,0.02951111111111111,0.0019907489750045047,diagnostic_only,Motivates update-interval study; not a V2 conclusion.,data_attribution_main/artifacts/results_strict_v4
mnist,0.1,rho_epoch_persistent_ub,3,0.9618666666666668,0.0022278539748675752,0.02516,0.0008933333333333342,diagnostic_only,Old high-frequency update diagnostic; retired protocol.,data_attribution_main/artifacts/results_strict_v4
mnist,0.1,vf_epoch_persistent_u1,3,0.8978333333333334,0.007950052410728672,0.015784444444444445,0.0014654590988391223,diagnostic_only,Motivates VF correctness gate; old fixed-alpha/one-pass protocol retired.,data_attribution_main/artifacts/results_strict_v4
mnist,0.1,vf_epoch_persistent_ub,3,0.8471666666666667,0.023492622955586132,0.008068888888888888,0.0016657908810109564,diagnostic_only,Old high-frequency VF diagnostic; retired protocol.,data_attribution_main/artifacts/results_strict_v4
mnist,0.2,rho_epoch_persistent_u1,3,0.9590333333333333,0.0028919428302325674,0.03872888888888889,0.0050061310558302576,diagnostic_only,Motivates update-interval study; not a V2 conclusion.,data_attribution_main/artifacts/results_strict_v4
mnist,0.2,rho_epoch_persistent_ub,3,0.9571333333333333,0.0018502252115170789,0.03484444444444445,0.0019421561137999087,diagnostic_only,Old high-frequency update diagnostic; retired protocol.,data_attribution_main/artifacts/results_strict_v4
mnist,0.2,vf_epoch_persistent_u1,3,0.8972333333333333,0.010203104102837205,0.01306,0.002222921001245383,diagnostic_only,Motivates VF correctness gate; old fixed-alpha/one-pass protocol retired.,data_attribution_main/artifacts/results_strict_v4
